code,description,unit
0203291300,– – – тўш ва унинг бўлаклари‚ суякдан ажратилмаган ҳолда,кг
0203291500,– – – кўкрак (стрики) ва унинг бўлаклари – – – – – бошқалар:,кг
0203295500,– – – – суякдан ажратилган гўшт,кг
0203295900,– – – – бошқалар,кг
0203299000,– – бошқалар,кг
0204,"Янги сўйилган, совутилган ёки музлатилган қўй ёки эчки гўшти:",
0204100000,"қўзичоқнинг танаси ва ярим танаси, янги сўйилган ёки совутилган – – бошқа қўй гўшти, ярим танаси, янги сўйилган ёки совутилган:",кг
0204210000,– тана ва ярим тана,кг
020422,– суякдан ажратилмаган бошқа қисмлар:,
0204221000,– – калта чопилган олдинги чорак нимталар,кг
0204223000,– – белнинг умуртқа қисмлари ёки буйрак қисмлари,кг
0204225000,– – тосболдир ва тўпиқ қисмлари,кг
0204229000,– – бошқалар,кг
0204230000,– суякдан ажратилган гўшт,кг
0204300000,музлатилган қўзичоқнинг танаси ва ярим танаси – – бошқа музлатилган қўй гўшти:,кг
0204410000,– тана ва ярим тана,кг
020442,"– бошқа кесмалар, суякдан ажратилмаган:",
0204421000,– – олд чорак нимтанинг майда чопилган бўлаклари,кг
0204423000,– – елканинг умуртқа қисмлари ва ёки буйрак қисмлари,кг
0204425000,– – тозболдир қисмлари тўпиқ билан,кг
0204429000,– – бошқалар,кг
020443,– суякдан ажратилган гўшт:,
0204431000,– – қўзиларнинг,кг
0204439000,– – бошқалар,кг
020450,эчки гўшти: – – янги сўйилган ёки совутилган:,
0204501100,– – тана ва ярим тана,кг
0204501300,– – олд чорак нимтанинг майда чопилгани бўлаклари,кг
0204501500,– – белнинг умуртқа қисмлари ва ёки буйрак қисмлари,кг
0204501900,– – тозболдир қисмлари тўпиқ билан – – – – бошқалар:,кг
0204503100,– – – суякдан ажратилмаган бўлаклар,кг
0204503900,– – – суякдан ажратилган гўшт – – – музлатилган:,кг
0204505100,– – тана ва ярим тана,кг
0204505300,– – олд чорак нимтанинг майда чопилган бўлаклари,кг
0204505500,– – белнинг умуртқа қисмлари ва ёки буйрак қисмлари,кг
0204505900,– – тозболдир қисми тўпиқ билан – – – – бошқалар:,кг
0204507100,– – – суякдан ажратилмаган бўлаклар,кг
0204507900,– – – суякдан ажратилган гўшт,кг
020500,"Янги суйилган, совутилган ёки музлатилган отлар, эшаклар, хачир ва хўтикларнинг гўшти:",
0205002000,янги сўйилган ёки совутилган,кг
17,Қўшимча ТИФ ТН код Позициянинг номи ўлчов бирлиги,
0205008000,музлатилган,кг
0206,"Янги сўйилган, совутилган, музлатилган йирик шохли қорамол, майда шохли қорамол, чўчқа, от, эшак, мол ёки хачирларнинг озиқ- овқат субмаҳсулотлари:",
020610,"йирик шохли қорамол, янги сўйилган ёки совутилган:",
0206101000,– фармацевтика маҳсулотларини ишлаб чиқариш учун – – – бошқалар:,кг
0206109500,– – қалин ва ингичка диафрагма,кг
0206109800,"– – бошқалар – – йирик шохли қорамол, музлатилган:",кг
0206210000,– тиллар,кг
020622000,– жигар:,
0206220001,– – фармацевтика маҳсулотларини ишлаб чиқариш учун,кг
0206220009,– – бошқалар,кг
020629,– бошқалар:,
0206291000,– – фармацевтика маҳсулотларини ишлаб чиқариш учун – – – – бошқалар:,кг
0206299100,– – – қалин ва ингичка диафрагма,кг
0206299900,– – – бошқалар,кг
020630000,"чўчқаларнинг, янги сўйилган ёки совутилган: – – жигар:",
0206300001,– – фармацевтика маҳсулотларини ишлаб чиқариш учун,кг
0206300002,– – бошқалар – – – бошқалар:,кг
0206300003,– – фармацевтика маҳсулотларини ишлаб чиқариш учун,кг
0206300004,"– – бошқалар – – чўчқаларнинг, музлатилган:",кг
020641000,– жигар:,
0206410001,– – фармацевтика маҳсулотларини ишлаб чиқариш учун,кг
0206410009,– – бошқалар,кг
020649000,– бошқалар:,
0206490001,– – фармацевтика маҳсулотларини ишлаб чиқариш учун,кг
0206490009,– – бошқалар,кг
020680,янги сўйилган ёки совутилган бошқа маҳсулотлар:,
0206801000,– фармацевтика маҳсулотларини ишлаб чиқариш учун – – – бошқалар:,кг
0206809100,"– – отларнинг, эшакларнинг, мол ва хачирларнинг",кг
0206809900,– – қўй ва эчкиларнинг,кг
020690,"бошқа турдаги, музлатилган:",
0206901000,– фармацевтика маҳсулотларини ишлаб чиқариш учун – – – бошқалар:,кг
0206909100,"– – отларнинг, эшакларнинг, мол ва хачирларнинг",кг
0206909900,– – қўй ва эчкиларнинг,кг
02070105,"товар позициясида кўрсатилган янги сўйилган, совутилган ёки музлатилган уй паррандаларининг гўшти ва озиқ-овқат субмаҳсулотлари: – уй паррандаларининг (Gallus domesticus):",кг
020711,"– бўлакларга бўлинмаган, янги сўйилган ёки совутилган:",
0207111000,"– – “83%лик жўжалар” сифатида келтирилган пати юлинган ва ичак- – човоқсиз, бош ва панжалар билан",кг
18,Қўшимча ТИФ ТН код Позициянинг номи ўлчов бирлиги,
0207113000,"– – “70%лик жўжалар” сифатида келтирилган пати юлинган, ичак- – човоқсиз, бошсиз ва панжаларсиз лекин бўйин, юрак, жигар ва мушакли ошқозон билан",кг
0207119000,"– – “65%лик жўжалар” сифатида пати юлинган, ичак-човоқсиз, – бошсиз ва панжаларсиз, бўйинсиз, юрак, жигар ва ошқозонсиз ёки бошқа бўлинган ҳолатда келтирилган",кг
020712,"– бўлакларга бўлинмаган, музлатилган:",
0207121000,"– – “70%лик жўжалар” сифатида келтирилган пати юлинган, ичак- – човоқсиз, бошсиз ва панжаларсиз лекин бўйин, юрак, жигар ва мушакли ошқозон билан",кг
0207129000,"– – “65%лик жўжалар” сифатида пати юлинган, ичак-човоқсиз, – бошсиз ва панжаларсиз, бўйинсиз, юрак, жигар ва ошқозонсиз ёки бошқа бўлинган ҳолатда келтирилган",кг
020713,"– тана бўлаклари ва субмаҳсулотлари, янги сўйилган ёки совутилган: – – – тана бўлаклари:",
0207131000,– – – суякдан ажратилган гўшт – – – – – суякдан ажратилмаган:,кг
0207132000,– – – – ярим ёки чорак нимталар,кг
0207133000,– – – – ингичка учли ёки учсиз бутун қанотлар,кг
0207134000,"– – – – бел, бўйин, бел бўйин билан, қанотнинг тепа қисми ва учлари",кг
0207135000,– – – – кўкрак ва унинг бўлаклари,кг
0207136000,– – – – оёқлар ва унинг бўлаклари,кг
0207137000,– – – – бошқалар – – – – субмаҳсулотлар:,кг
0207139100,– – – жигар,кг
020713990,– – – бошқалар:,
0207139901,– – – – панжалар,кг
0207139909,– – – – бошқалар,кг
020714,"– тана бўлаклари ва субмаҳсулотлар, музлатилган: – – – тана қисмлари:",
0207141000,– – – суякдан ажратилган гўшт – – – – – суякдан ажратилмаган:,кг
0207142000,– – – – ярим ёки чорак нимталар,кг
0207143000,"– – – – бутун қанот, учлари билан ёки учи сиз",кг
0207144000,"– – – – бел, бўйин, бел бўйин билан, қанотнинг тепа қисми ва учлари",кг
0207145000,– – – – кўкрак ва унинг бўлаклари,кг
0207146000,– – – – оёқлар ва унинг бўлаклари,кг
0207147000,– – – – бошқалар – – – – субмаҳсулотлар:,кг
0207149100,– – – жигар,кг
020714990,– – – бошқалар:,
0207149901,– – – – панжалар,кг
0207149909,– – – – бошқалар – – куркаларнинг:,кг
020724,"– бўлакларга бўлинмаган, янги сўйилган ёки совутилган:",
0207241000,"– – “80%лик курка” сифатида келтирилган пати юлинган, ичак- – човоқсиз, бошсиз ва панжаларсиз лекин бўйин, юрак, жигар ва мушакли ошқозон билан",кг
0207249000,"– – “73%лик курка” сифатида пати юлинган, ичак-човоқсиз, бошсиз – ва панжаларсиз, бўйин, юрак, жигар ва мушакли ошқозонсиз ёки бошқа бўлинган ҳолатда келтирилган",кг
19,Қўшимча ТИФ ТН код Позициянинг номи ўлчов бирлиги,
020725,"– бўлакларга бўлинмаган, музлатилган:",
0207251000,"– – “80%лик курка” сифатида келтирилган пати юлинган, ичак- – човоқсиз, бошсиз ва панжаларсиз лекин бўйин, юрак, жигар ва мушакли ошқозон билан",кг
0207259000,"– – “73%лик курка” сифатида пати юлинган, ичак-човоқсиз, бошсиз – ва панжаларсиз, бўйин, юрак, жигар ва мушакли ошқозонсиз ёки бошқа бўлинган ҳолатда келтирилган",кг
020726,"– тана бўлаклари ва субмаҳсулотлар, янги сўйилган ёки совитилган: – – – тана бўлаклари:",
0207261000,– – – суякдан ажратилган гўшт – – – – – суякдан ажратилмаган:,кг
0207262000,– – – – ярим нимта ёки чорак нимталар,кг
0207263000,"– – – – бутун қанот, учлари билан ёки учисиз",кг
0207264000,"– – – – бел, бўйин, бел бўйин билан, қанотнинг тепа қисми ва учлари",кг
0207265000,– – – – кўкрак ва уни бўлаклари – – – – – – оёқ ва унинг бўлаклари:,кг
0207266000,– – – – – болдир ва унинг бўлаклари,кг
0207267000,– – – – – бошқалар,кг
0207268000,– – – – бошқалар – – – – субмаҳсулотлар:,кг
0207269100,– – – жигар,кг
0207269900,– – – бошқалар,кг
020727,"– тана қисмлари ва субмаҳсулотлари, музлатилган: – – – тана бўлаклари:",
0207271000,– – – суякдан ажратилган гўшт – – – – – суякдан ажратилмаган:,кг
0207272000,– – – – ярим нимта ёки чорак нимтали,кг
0207273000,"– – – – бутун қанот, учлари билан ёки учисиз",кг
0207274000,"– – – – бел, бўйин, бел бўйин билан, қанотнинг тепа қисми ва учлари",кг
0207275000,– – – – кўкрак ва унинг бўлаклари – – – – – – оёқ ва унинг бўлаклари:,кг
0207276000,– – – – – болдир ва унинг бўлаклари,кг
0207277000,– – – – – бошқалар,кг
0207278000,– – – – бошқалар – – – – субмаҳсулотлар:,кг
0207279100,– – – жигар,кг
0207279900,– – – бошқалар – – ўрдакларнинг:,кг
020741,"– бўлакларга бўлинмаган, янги сўйилган ёки совутилган:",
0207412000,"– – “85% лик ўрдак” ҳолатида келтирилган, пати юлинган, – қонсизлантирилган, ичак-човоқсиз, бироқ ички органлари олинмаган, бошли ва панжали",кг
0207413000,"– – “70% лик ўрдак” ҳолатида келтирилган пати юлинган, ичак- – човоқсиз, бош ва панжасиз, лекин бўйин, юрак, жигар, ошқозон билан",кг
0207418000,"– – “63% лик ўрдак” ёки пати юлинган, ичак-човоқсиз, бош ва – панжасиз, бўйин, юрак, жигар ва мушакли ошқозонсиз ёки бошқа бўлинган ҳолатда келтирилган",кг
020742,"– бўлакларга бўлинмаган, музлатилган :",
0207423000,"– – “70% лик ўрдак” ҳолатида келтирилган пати юлинган, ичак- – човоқсиз, бош ва панжасиз, лекин бўйин, юрак, жигар, ошқозон билан",кг
0207428000,"– – “63% лик ўрдак” пати юлинган, ичак-човоқсиз, бош ва панжасиз, – бўйин, юрак, жигар ва мушакли ошқозонсиз ёки бошқа бўлинган ҳолатда келтирилган",кг
0207430000,"– ёғли жигар, янги ёки совутилган",кг
020744,"– бошқалар, янги ёки совутилган: – – – тана қисмлари:",
0207441000,– – – суякдан ажратилган гўшт – – – – – суякдан ажратилмаган:,кг
0207442100,– – – – ярим ёки чорак нимталар,кг
0207443100,"– – – – бутун қанот, учлари билан ёки учисиз",кг
0207444100,"– – – – бел, бўйин, бел бўйин билан, қанотнинг тепа қисми ва учлари",кг
0207445100,– – – – кўкрак ва уни бўлаклари ёки тош,кг
0207446100,– – – – оёқ ва унинг бўлаклари,кг
0207447100,– – – – палетотлар,кг
0207448100,– – – – бошқалар – – – – субмаҳсулотлар:,кг
0207449100,"– – – жигар, ёғлидан ташқари",кг
0207449900,– – – бошқалар,кг
020745,"– бошқалар, музлатилган: – – – тана қисмлари:",
0207451000,– – – суякдан ажратилган гўшт – – – – – суякдан ажратилмаган:,кг
0207452100,– – – – ярим ёки чорак нимталар,кг
0207453100,"– – – – бутун қанот, учлари билан ёки учисиз",кг
0207454100,"– – – – бел, бўйин, бел бўйин билан, қанотнинг тепа қисми ва учлари",кг
0207455100,– – – – кўкрак ва уни бўлаклари,кг
0207456100,– – – – оёқ ва унинг бўлаклари,кг
0207457100,– – – – палетотлар,кг
0207458100,– – – – бошқалар – – – – субмаҳсулотлар: – – – – жигар:,кг
0207459300,– – – – ёғли жигар,кг
0207459500,– – – – бошқалар,кг
0207459900,– – – бошқалар – – ғозларнинг:,кг
020751,"– бўлакларга бўлинмаган, янги сўйилган ёки совутилган:",
0207511000,"– – “82%лик ғоз” ҳолатида пати юлинган, қонсизлантирилган, ички – органлари олинмаган, бошли ва панжали",кг
0207519000,"– – “75%лик ғоз” кўринишида пати юлинган, ичак-човоқсиз, бош ва – панжасиз, бироқ юрак, ошқозонли ёки усиз ёки бошқа ҳолатда ишлов берилган",кг
020752,"– музлатилган, қисмларга бўлинмаган:",
0207521000,"– – “82%лик ғоз” ҳолатида пати юлинган, қонсизлантирилган, ички – органлари олинмаган, бошли ва панжали",кг
0207529000,"– – “75% лик ғоз” кўринишида пати юлинган, ичак-човоқсиз, бош ва – панжасиз, бироқ юрак, ошқозонли ёки усиз ёки бошқа ҳолатда ишлов берилган",кг
0207530000,– ёғли жигар янги ёки совутилган,кг
020754,– бошқалар янги сўйилган ёки совутилган: – – – тана қисмлари:,
0207541000,– – – суякдан ажратилган гўшт – – – – – суякдан ажратилмаган:,кг
0207542100,– – – – ярим ёки чорак нимталар,кг
0207543100,"– – – – бутун қанот, учлари билан ёки усиз",кг
0207544100,"– – – – бел, бўйин, бел бўйин билан, қанотнинг тепа қисми ва учлари",кг
0207545100,– – – – кўкрак ва уни бўлаклари,кг
0207546100,– – – – оёқ ва унинг бўлаклари,кг
0207547100,– – – – палетотлар,кг
0207548100,– – – – бошқалар – – – – субмаҳсулотлар:,кг
0207549100,"– – – жигар, ёғлидан ташқари",кг
0207549900,– – – бошқалар,кг
020755,– музлатилган бошқа маҳсулотлар: – – – тана қисмлари:,
0207551000,– – – суякдан ажратилган гўшт – – – – – суякдан ажратилмаган:,кг
0207552100,– – – – ярим ёки чорак нимтали,кг
0207553100,"– – – – бутун қанот, учлари билан ёки усиз",кг
0207554100,"– – – – бел, бўйин, бел бўйин билан, қанотнинг тепа қисми ва учлари",кг
0207555100,– – – – кўкрак ва уни бўлаклари,кг
0207556100,– – – – оёқ ва унинг бўлаклари,кг
0207557100,– – – – палетотлар,кг
0207558100,– – – – бошқалар – – – – субмаҳсулотлар: – – – – жигар:,кг
0207559300,– – – – ёғли жигар,кг
0207559500,– – – – бошқалар,кг
0207559900,– – – бошқалар,кг
020760,цесаркаларнинг:,
0207600500,"– бўлакларга бўлинмаган, янги сўйилган, совутилган ёки музлатилган – – – бошқалар: – – – тана қисмлари:",кг
0207601000,– – – суякдан ажратилган гўшт – – – – – суякдан ажратилмаган:,кг
0207602100,– – – – ярим ёки чорак нимталар,кг
0207603100,"– – – – бутун қанот, учлари билан ёки усиз",кг
0207604100,"– – – – бел, бўйин, бел бўйин билан, қанотнинг тепа қисми ва учлари",кг
0207605100,– – – – кўкрак ва унинг бўлаклари,кг
0207606100,– – – – оёқ ва унинг бўлаклари,кг
0207608100,– – – – бошқалар – – – – субмаҳсулотлар:,кг
0207609100,– – – жигар,кг
0207609900,– – – бошқалар,кг
